Discipline,Code,F,M,Total
Archery,ARC,60,79,139
Athletics,ATH,489,653,1142
Badminton,BDM,44,46,90
Boccia,BOC,41,73,114
Canoe Sprint,CSP,40,51,91
Cycling Road,CRD,74,139,213
Cycling Track,CTR,43,72,115
Equestrian,EQU,55,22,77
Football 5-a-side,FB5,0,78,78
Goalball,GBL,58,60,118
Judo,JUD,56,80,136
Powerlifting,PWL,88,90,178
Rowing,ROW,56,52,108
Shooting,SHO,54,100,154
Sitting Volleyball,VBS,92,95,187
Swimming,SWM,263,341,604
Table Tennis,TTE,105,173,278
Taekwondo,TKW,35,36,71
Triathlon,TRI,40,40,80
Wheelchair Basketball,WBK,118,144,262
Wheelchair Fencing,WFE,48,48,96
Wheelchair Rugby,WRU,4,88,92
Wheelchair Tennis,WTE,32,72,104